"Step","f1","2023-08-01 16:58:10.486156_mustard_ours_5 - F1-score__MIN","2023-08-01 16:58:10.486156_mustard_ours_5 - F1-score__MAX"
"0","0.45802502475470336","0.45802502475470336","0.45802502475470336"
"1","0.45678108314263927","0.45678108314263927","0.45678108314263927"
"2","0.35922923969415577","0.35922923969415577","0.35922923969415577"
"3","0.5311419659245747","0.5311419659245747","0.5311419659245747"
"4","0.5371635610766046","0.5371635610766046","0.5371635610766046"
"5","0.4757074234376025","0.4757074234376025","0.4757074234376025"
"6","0.5209408759512533","0.5209408759512533","0.5209408759512533"
"7","0.5264051990019774","0.5264051990019774","0.5264051990019774"
"8","0.5483892231921725","0.5483892231921725","0.5483892231921725"
"9","0.4875739426205265","0.4875739426205265","0.4875739426205265"
"10","0.5511067995414057","0.5511067995414057","0.5511067995414057"
"11","0.5452778082410297","0.5452778082410297","0.5452778082410297"
"12","0.547873286386757","0.547873286386757","0.547873286386757"
"13","0.517731526884845","0.517731526884845","0.517731526884845"
"14","0.6033707649486515","0.6033707649486515","0.6033707649486515"
"15","0.4496662400044042","0.4496662400044042","0.4496662400044042"
"16","0.4989974546776791","0.4989974546776791","0.4989974546776791"
"17","0.4496662400044042","0.4496662400044042","0.4496662400044042"
"18","0.5361436928594526","0.5361436928594526","0.5361436928594526"
"19","0.5572363123993559","0.5572363123993559","0.5572363123993559"
"20","0.6038954235915996","0.6038954235915996","0.6038954235915996"
"21","0.5942028985507246","0.5942028985507246","0.5942028985507246"
"22","0.59874452262983","0.59874452262983","0.59874452262983"
"23","0.6364437664208831","0.6364437664208831","0.6364437664208831"
"24","0.6528428093645485","0.6528428093645485","0.6528428093645485"
"25","0.584542192312775","0.584542192312775","0.584542192312775"
"26","0.6244719879787591","0.6244719879787591","0.6244719879787591"
"27","0.6896476040634234","0.6896476040634234","0.6896476040634234"
"28","0.5725040257648953","0.5725040257648953","0.5725040257648953"
"29","0.6752126089035826","0.6752126089035826","0.6752126089035826"
"30","0.6179513160504776","0.6179513160504776","0.6179513160504776"
