"Step","f1","2023-08-01 16:58:10.486156_mustard_ours_5 - F1-score__MIN","2023-08-01 16:58:10.486156_mustard_ours_5 - F1-score__MAX"
"31","0.6290575209289765","0.6290575209289765","0.6290575209289765"
"32","0.6376811594202898","0.6376811594202898","0.6376811594202898"
"33","0.6795020293621868","0.6795020293621868","0.6795020293621868"
"34","0.659766648282132","0.659766648282132","0.659766648282132"
"35","0.6248677443960533","0.6248677443960533","0.6248677443960533"
"36","0.6447618588042271","0.6447618588042271","0.6447618588042271"
"37","0.6772481229264885","0.6772481229264885","0.6772481229264885"
"38","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"39","0.6571089557018548","0.6571089557018548","0.6571089557018548"
"40","0.6892531073839248","0.6892531073839248","0.6892531073839248"
"41","0.6795020293621868","0.6795020293621868","0.6795020293621868"
"42","0.6828424892283588","0.6828424892283588","0.6828424892283588"
"43","0.6742446632488498","0.6742446632488498","0.6742446632488498"
"44","0.6479070431925329","0.6479070431925329","0.6479070431925329"
"45","0.6590358263861136","0.6590358263861136","0.6590358263861136"
"46","0.6533587581342393","0.6533587581342393","0.6533587581342393"
"47","0.6447618588042271","0.6447618588042271","0.6447618588042271"
"48","0.7107023411371237","0.7107023411371237","0.7107023411371237"
"49","0.6887226782155674","0.6887226782155674","0.6887226782155674"
"50","0.6503658502132948","0.6503658502132948","0.6503658502132948"
"51","0.6503658502132948","0.6503658502132948","0.6503658502132948"
"52","0.6756190419296508","0.6756190419296508","0.6756190419296508"
"53","0.6521739130434783","0.6521739130434783","0.6521739130434783"
"54","0.6346039741453315","0.6346039741453315","0.6346039741453315"
"55","0.6900325347530317","0.6900325347530317","0.6900325347530317"
"56","0.6887226782155674","0.6887226782155674","0.6887226782155674"
"57","0.6825803991043526","0.6825803991043526","0.6825803991043526"
"58","0.6603464196987083","0.6603464196987083","0.6603464196987083"
"59","0.6086996594607634","0.6086996594607634","0.6086996594607634"
"60","0.6280058614154724","0.6280058614154724","0.6280058614154724"
"61","0.6512827963628879","0.6512827963628879","0.6512827963628879"
"62","0.6376811594202898","0.6376811594202898","0.6376811594202898"
"63","0.6804035482258871","0.6804035482258871","0.6804035482258871"
"64","0.6683597883597883","0.6683597883597883","0.6683597883597883"
"65","0.6752126089035826","0.6752126089035826","0.6752126089035826"
"66","0.6896476040634234","0.6896476040634234","0.6896476040634234"
"67","0.6607776137437419","0.6607776137437419","0.6607776137437419"
"68","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"69","0.668152235427278","0.668152235427278","0.668152235427278"
"70","0.6513493253373314","0.6513493253373314","0.6513493253373314"
"71","0.675485171321624","0.675485171321624","0.675485171321624"
"72","0.6784514972478917","0.6784514972478917","0.6784514972478917"
"73","0.6827789279963193","0.6827789279963193","0.6827789279963193"
"74","0.6756190419296508","0.6756190419296508","0.6756190419296508"
"75","0.653724071750203","0.653724071750203","0.653724071750203"
"76","0.646639408772435","0.646639408772435","0.646639408772435"
"77","0.668152235427278","0.668152235427278","0.668152235427278"
"78","0.6972587397179788","0.6972587397179788","0.6972587397179788"
"79","0.6827721018310655","0.6827721018310655","0.6827721018310655"
"80","0.6827721018310655","0.6827721018310655","0.6827721018310655"
"81","0.6825684380032205","0.6825684380032205","0.6825684380032205"
"82","0.6610622900470294","0.6610622900470294","0.6610622900470294"
"83","0.6467812605325244","0.6467812605325244","0.6467812605325244"
"84","0.6308106183486965","0.6308106183486965","0.6308106183486965"
"85","0.6106748522472167","0.6106748522472167","0.6106748522472167"
"86","0.6658764367816092","0.6658764367816092","0.6658764367816092"
"87","0.646639408772435","0.646639408772435","0.646639408772435"
"88","0.6678021432119793","0.6678021432119793","0.6678021432119793"
"89","0.7094577711144429","0.7094577711144429","0.7094577711144429"
"90","0.6899080525962183","0.6899080525962183","0.6899080525962183"
"91","0.6742446632488498","0.6742446632488498","0.6742446632488498"
"92","0.6533587581342393","0.6533587581342393","0.6533587581342393"
"93","0.6308106183486965","0.6308106183486965","0.6308106183486965"
"94","0.6742446632488498","0.6742446632488498","0.6742446632488498"
"95","0.654536957198487","0.654536957198487","0.654536957198487"
"96","0.6899080525962183","0.6899080525962183","0.6899080525962183"
"97","0.7025631676985246","0.7025631676985246","0.7025631676985246"
"98","0.675485171321624","0.675485171321624","0.675485171321624"
"99","0.6392959080731281","0.6392959080731281","0.6392959080731281"
"100","0.653724071750203","0.653724071750203","0.653724071750203"
"101","0.646639408772435","0.646639408772435","0.646639408772435"
"102","0.6533587581342393","0.6533587581342393","0.6533587581342393"
"103","0.6231884057971014","0.6231884057971014","0.6231884057971014"
"104","0.6540099882491187","0.6540099882491187","0.6540099882491187"
"105","0.6533587581342393","0.6533587581342393","0.6533587581342393"
"106","0.6673076923076923","0.6673076923076923","0.6673076923076923"
"107","0.6533587581342393","0.6533587581342393","0.6533587581342393"
"108","0.6467812605325244","0.6467812605325244","0.6467812605325244"
"109","0.6673076923076923","0.6673076923076923","0.6673076923076923"
"110","0.6742446632488498","0.6742446632488498","0.6742446632488498"
"111","0.6179513160504776","0.6179513160504776","0.6179513160504776"
"112","0.6392959080731281","0.6392959080731281","0.6392959080731281"
"113","0.6747997635413165","0.6747997635413165","0.6747997635413165"
"114","0.6322165274978404","0.6322165274978404","0.6322165274978404"
"115","0.6678021432119793","0.6678021432119793","0.6678021432119793"
"116","0.6323641691256888","0.6323641691256888","0.6323641691256888"
"117","0.6179470777188529","0.6179470777188529","0.6179470777188529"
"118","0.6248536085492608","0.6248536085492608","0.6248536085492608"
"119","0.6898985621692969","0.6898985621692969","0.6898985621692969"
"120","0.6896476040634234","0.6896476040634234","0.6896476040634234"
"121","0.6683597883597883","0.6683597883597883","0.6683597883597883"
"122","0.6539406487232574","0.6539406487232574","0.6539406487232574"
"123","0.6896476040634234","0.6896476040634234","0.6896476040634234"
"124","0.6376811594202898","0.6376811594202898","0.6376811594202898"
"125","0.6323641691256888","0.6323641691256888","0.6323641691256888"
"126","0.6717000639698609","0.6717000639698609","0.6717000639698609"
"127","0.6533587581342393","0.6533587581342393","0.6533587581342393"
"128","0.6179470777188529","0.6179470777188529","0.6179470777188529"
"129","0.6100286029010191","0.6100286029010191","0.6100286029010191"
"130","0.6533587581342393","0.6533587581342393","0.6533587581342393"
"131","0.6086956521739131","0.6086956521739131","0.6086956521739131"
"132","0.6169863881708839","0.6169863881708839","0.6169863881708839"
"133","0.6445267126153099","0.6445267126153099","0.6445267126153099"
"134","0.646639408772435","0.646639408772435","0.646639408772435"
"135","0.6436042848141148","0.6436042848141148","0.6436042848141148"
"136","0.6239130434782608","0.6239130434782608","0.6239130434782608"
"137","0.6248677443960533","0.6248677443960533","0.6248677443960533"
"138","0.5873765734485431","0.5873765734485431","0.5873765734485431"
"139","0.6467851789900643","0.6467851789900643","0.6467851789900643"
"140","0.6066615814899567","0.6066615814899567","0.6066615814899567"
"141","0.6239008646937036","0.6239008646937036","0.6239008646937036"
"142","0.6163326033819787","0.6163326033819787","0.6163326033819787"
"143","0.6683526519142957","0.6683526519142957","0.6683526519142957"
"144","0.6239008646937036","0.6239008646937036","0.6239008646937036"
"145","0.6155185023672588","0.6155185023672588","0.6155185023672588"
"146","0.6661218263048928","0.6661218263048928","0.6661218263048928"
"147","0.6463277378609186","0.6463277378609186","0.6463277378609186"
"148","0.6452886333154143","0.6452886333154143","0.6452886333154143"
"149","0.6817725752508361","0.6817725752508361","0.6817725752508361"
