"Step","f1","2023-08-01 17:34:54.918740_mustard_m3a_none_1 - F1-score__MIN","2023-08-01 17:34:54.918740_mustard_m3a_none_1 - F1-score__MAX"
"0","0.5201230175480914","0.5201230175480914","0.5201230175480914"
"1","0.51584545683479","0.51584545683479","0.51584545683479"
"2","0.5092522491565371","0.5092522491565371","0.5092522491565371"
"3","0.542962916219684","0.542962916219684","0.542962916219684"
"4","0.5666984476677991","0.5666984476677991","0.5666984476677991"
"5","0.5294645135816719","0.5294645135816719","0.5294645135816719"
"6","0.5530066712675409","0.5530066712675409","0.5530066712675409"
"7","0.5308626573051749","0.5308626573051749","0.5308626573051749"
"8","0.5746958034983457","0.5746958034983457","0.5746958034983457"
"9","0.5515886287625418","0.5515886287625418","0.5515886287625418"
"10","0.537123745819398","0.537123745819398","0.537123745819398"
"11","0.5601021211248681","0.5601021211248681","0.5601021211248681"
"12","0.5060782108945527","0.5060782108945527","0.5060782108945527"
"13","0.5089249073568389","0.5089249073568389","0.5089249073568389"
"14","0.5238705986565292","0.5238705986565292","0.5238705986565292"
"15","0.4937290969899666","0.4937290969899666","0.4937290969899666"
"16","0.48819325505733135","0.48819325505733135","0.48819325505733135"
"17","0.48358988207759473","0.48358988207759473","0.48358988207759473"
"18","0.4704173473656657","0.4704173473656657","0.4704173473656657"
"19","0.4879720445120951","0.4879720445120951","0.4879720445120951"
"20","0.5046849544688345","0.5046849544688345","0.5046849544688345"
"21","0.4944815222790989","0.4944815222790989","0.4944815222790989"
"22","0.4901168648943884","0.4901168648943884","0.4901168648943884"
"23","0.5176772458718376","0.5176772458718376","0.5176772458718376"
"24","0.5305427242567107","0.5305427242567107","0.5305427242567107"
"25","0.49674596663932186","0.49674596663932186","0.49674596663932186"
"26","0.5469089279402111","0.5469089279402111","0.5469089279402111"
"27","0.5305427242567107","0.5305427242567107","0.5305427242567107"
"28","0.5385875316310099","0.5385875316310099","0.5385875316310099"
"29","0.5629573127666185","0.5629573127666185","0.5629573127666185"
"30","0.5772791023842918","0.5772791023842918","0.5772791023842918"
