"Step","f1","2023-08-01 17:34:54.918740_mustard_m3a_none_1 - F1-score__MIN","2023-08-01 17:34:54.918740_mustard_m3a_none_1 - F1-score__MAX"
"31","0.5192530440432804","0.5192530440432804","0.5192530440432804"
"32","0.5439425285483898","0.5439425285483898","0.5439425285483898"
"33","0.5685262243654559","0.5685262243654559","0.5685262243654559"
"34","0.5164276621453342","0.5164276621453342","0.5164276621453342"
"35","0.5496354571152182","0.5496354571152182","0.5496354571152182"
"36","0.5403800895578054","0.5403800895578054","0.5403800895578054"
"37","0.584153414361824","0.584153414361824","0.584153414361824"
"38","0.6003570911547556","0.6003570911547556","0.6003570911547556"
"39","0.6222951024487756","0.6222951024487756","0.6222951024487756"
"40","0.5598838039906662","0.5598838039906662","0.5598838039906662"
"41","0.6251358471728262","0.6251358471728262","0.6251358471728262"
"42","0.6259223329511715","0.6259223329511715","0.6259223329511715"
"43","0.5834046304218196","0.5834046304218196","0.5834046304218196"
"44","0.5907564510427712","0.5907564510427712","0.5907564510427712"
"45","0.6248677443960533","0.6248677443960533","0.6248677443960533"
"46","0.585417229273562","0.585417229273562","0.585417229273562"
"47","0.5691548661021372","0.5691548661021372","0.5691548661021372"
"48","0.5439425285483898","0.5439425285483898","0.5439425285483898"
"49","0.5962640901771336","0.5962640901771336","0.5962640901771336"
"50","0.6119787771961686","0.6119787771961686","0.6119787771961686"
"51","0.631439732013492","0.631439732013492","0.631439732013492"
"52","0.6174726282642196","0.6174726282642196","0.6174726282642196"
"53","0.6216047364788785","0.6216047364788785","0.6216047364788785"
"54","0.6104352921599959","0.6104352921599959","0.6104352921599959"
"55","0.5920934919155106","0.5920934919155106","0.5920934919155106"
"56","0.6266210874906527","0.6266210874906527","0.6266210874906527"
"57","0.6066615814899567","0.6066615814899567","0.6066615814899567"
"58","0.6104352921599959","0.6104352921599959","0.6104352921599959"
"59","0.574554343857644","0.574554343857644","0.574554343857644"
"60","0.6046265547847886","0.6046265547847886","0.6046265547847886"
"61","0.6290575209289765","0.6290575209289765","0.6290575209289765"
"62","0.6344660600840497","0.6344660600840497","0.6344660600840497"
"63","0.6222951024487756","0.6222951024487756","0.6222951024487756"
"64","0.5572363123993559","0.5572363123993559","0.5572363123993559"
"65","0.621229671064403","0.621229671064403","0.621229671064403"
"66","0.6030394524959741","0.6030394524959741","0.6030394524959741"
"67","0.6163326033819787","0.6163326033819787","0.6163326033819787"
"68","0.6022256728778468","0.6022256728778468","0.6022256728778468"
"69","0.6222951024487756","0.6222951024487756","0.6222951024487756"
"70","0.6086996594607634","0.6086996594607634","0.6086996594607634"
"71","0.6163326033819787","0.6163326033819787","0.6163326033819787"
"72","0.5999639931587001","0.5999639931587001","0.5999639931587001"
"73","0.6222951024487756","0.6222951024487756","0.6222951024487756"
"74","0.6195463074344191","0.6195463074344191","0.6195463074344191"
"75","0.6425178474338487","0.6425178474338487","0.6425178474338487"
"76","0.6280398485909102","0.6280398485909102","0.6280398485909102"
"77","0.6521739130434783","0.6521739130434783","0.6521739130434783"
"78","0.6222951024487756","0.6222951024487756","0.6222951024487756"
"79","0.6376811594202898","0.6376811594202898","0.6376811594202898"
"80","0.6169580553638524","0.6169580553638524","0.6169580553638524"
"81","0.6244719879787591","0.6244719879787591","0.6244719879787591"
"82","0.6231884057971014","0.6231884057971014","0.6231884057971014"
"83","0.6163326033819787","0.6163326033819787","0.6163326033819787"
"84","0.6155084850737024","0.6155084850737024","0.6155084850737024"
"85","0.6169580553638524","0.6169580553638524","0.6169580553638524"
"86","0.6086956521739131","0.6086956521739131","0.6086956521739131"
"87","0.5892248837246219","0.5892248837246219","0.5892248837246219"
"88","0.5584205435151075","0.5584205435151075","0.5584205435151075"
"89","0.574554343857644","0.574554343857644","0.574554343857644"
"90","0.5942028985507246","0.5942028985507246","0.5942028985507246"
"91","0.6145107570438384","0.6145107570438384","0.6145107570438384"
"92","0.6077679910044977","0.6077679910044977","0.6077679910044977"
"93","0.6222951024487756","0.6222951024487756","0.6222951024487756"
"94","0.6145107570438384","0.6145107570438384","0.6145107570438384"
"95","0.6163326033819787","0.6163326033819787","0.6163326033819787"
"96","0.6300175988445063","0.6300175988445063","0.6300175988445063"
"97","0.6163326033819787","0.6163326033819787","0.6163326033819787"
"98","0.605372292076958","0.605372292076958","0.605372292076958"
"99","0.6009993713028988","0.6009993713028988","0.6009993713028988"
