"Step","f1","2023-08-01 18:16:49.323374_mustard_m3a_vanmix_1_none_1 - F1-score__MIN","2023-08-01 18:16:49.323374_mustard_m3a_vanmix_1_none_1 - F1-score__MAX"
"0","0.5103511379511969","0.5103511379511969","0.5103511379511969"
"1","0.5314445292778386","0.5314445292778386","0.5314445292778386"
"2","0.4518558438607893","0.4518558438607893","0.4518558438607893"
"3","0.515722049689441","0.515722049689441","0.515722049689441"
"4","0.5189823566477632","0.5189823566477632","0.5189823566477632"
"5","0.5666797671166518","0.5666797671166518","0.5666797671166518"
"6","0.5580285254198298","0.5580285254198298","0.5580285254198298"
"7","0.5143970361361666","0.5143970361361666","0.5143970361361666"
"8","0.5153777337352217","0.5153777337352217","0.5153777337352217"
"9","0.5313560151141361","0.5313560151141361","0.5313560151141361"
"10","0.5616227728429691","0.5616227728429691","0.5616227728429691"
"11","0.5572490416743539","0.5572490416743539","0.5572490416743539"
"12","0.5725040257648953","0.5725040257648953","0.5725040257648953"
"13","0.5048524804331089","0.5048524804331089","0.5048524804331089"
"14","0.5452778082410297","0.5452778082410297","0.5452778082410297"
"15","0.49674596663932186","0.49674596663932186","0.49674596663932186"
"16","0.5469089279402111","0.5469089279402111","0.5469089279402111"
"17","0.5775254023410646","0.5775254023410646","0.5775254023410646"
"18","0.5797101449275363","0.5797101449275363","0.5797101449275363"
"19","0.5469089279402111","0.5469089279402111","0.5469089279402111"
"20","0.585417229273562","0.585417229273562","0.585417229273562"
"21","0.5597326476248564","0.5597326476248564","0.5597326476248564"
"22","0.5515886287625418","0.5515886287625418","0.5515886287625418"
"23","0.5728985584818254","0.5728985584818254","0.5728985584818254"
"24","0.5695623060938177","0.5695623060938177","0.5695623060938177"
"25","0.5826941566072001","0.5826941566072001","0.5826941566072001"
"26","0.574554343857644","0.574554343857644","0.574554343857644"
"27","0.589117453110891","0.589117453110891","0.589117453110891"
"28","0.5932408795602199","0.5932408795602199","0.5932408795602199"
"29","0.6077679910044977","0.6077679910044977","0.6077679910044977"
"30","0.578713768115942","0.578713768115942","0.578713768115942"
"31","0.5456653352712957","0.5456653352712957","0.5456653352712957"
"32","0.5362318840579711","0.5362318840579711","0.5362318840579711"
"33","0.5351324337831084","0.5351324337831084","0.5351324337831084"
"34","0.5815832533648286","0.5815832533648286","0.5815832533648286"
"35","0.56027871209151","0.56027871209151","0.56027871209151"
"36","0.5674258109040717","0.5674258109040717","0.5674258109040717"
"37","0.5507246376811594","0.5507246376811594","0.5507246376811594"
"38","0.5880797004856677","0.5880797004856677","0.5880797004856677"
"39","0.5660535117056856","0.5660535117056856","0.5660535117056856"
"40","0.5285637604478184","0.5285637604478184","0.5285637604478184"
"41","0.5736263566430595","0.5736263566430595","0.5736263566430595"
"42","0.588602637944538","0.588602637944538","0.588602637944538"
"43","0.6035343845806843","0.6035343845806843","0.6035343845806843"
"44","0.5811418327455391","0.5811418327455391","0.5811418327455391"
"45","0.5515886287625418","0.5515886287625418","0.5515886287625418"
"46","0.5530066712675409","0.5530066712675409","0.5530066712675409"
"47","0.5826941566072001","0.5826941566072001","0.5826941566072001"
"48","0.5736263566430595","0.5736263566430595","0.5736263566430595"
"49","0.6251023694501955","0.6251023694501955","0.6251023694501955"
"50","0.5960114170419034","0.5960114170419034","0.5960114170419034"
"51","0.6106748522472167","0.6106748522472167","0.6106748522472167"
"52","0.585417229273562","0.585417229273562","0.585417229273562"
"53","0.6025330443282758","0.6025330443282758","0.6025330443282758"
"54","0.6104395807189783","0.6104395807189783","0.6104395807189783"
