"Step","f1","2023-07-30 14:17:09.656729_ours_0.1_2 - F1-score__MIN","2023-07-30 14:17:09.656729_ours_0.1_2 - F1-score__MAX"
"0","0.32049418604651164","0.32049418604651164","0.32049418604651164"
"1","0.4262020265341944","0.4262020265341944","0.4262020265341944"
"2","0.32049418604651164","0.32049418604651164","0.32049418604651164"
"3","0.31878073957131575","0.31878073957131575","0.31878073957131575"
"4","0.32049418604651164","0.32049418604651164","0.32049418604651164"
"5","0.31878073957131575","0.31878073957131575","0.31878073957131575"
"6","0.31705832217216606","0.31705832217216606","0.31705832217216606"
"7","0.31705832217216606","0.31705832217216606","0.31705832217216606"
"8","0.3254701689420605","0.3254701689420605","0.3254701689420605"
"9","0.31878073957131575","0.31878073957131575","0.31878073957131575"
"10","0.33625150208524773","0.33625150208524773","0.33625150208524773"
"11","0.3400741489720256","0.3400741489720256","0.3400741489720256"
"12","0.32368061055511554","0.32368061055511554","0.32368061055511554"
"13","0.32368061055511554","0.32368061055511554","0.32368061055511554"
"14","0.3400741489720256","0.3400741489720256","0.3400741489720256"
"15","0.35771442860715175","0.35771442860715175","0.35771442860715175"
"16","0.35001222980523433","0.35001222980523433","0.35001222980523433"
"17","0.32368061055511554","0.32368061055511554","0.32368061055511554"
"18","0.3685062716913071","0.3685062716913071","0.3685062716913071"
"19","0.3304637254384744","0.3304637254384744","0.3304637254384744"
"20","0.3831236497649002","0.3831236497649002","0.3831236497649002"
"21","0.3400741489720256","0.3400741489720256","0.3400741489720256"
"22","0.33625150208524773","0.33625150208524773","0.33625150208524773"
"23","0.4527359781121751","0.4527359781121751","0.4527359781121751"
"24","0.36320225928381394","0.36320225928381394","0.36320225928381394"
"25","0.4020667755731356","0.4020667755731356","0.4020667755731356"
"26","0.38569503014223816","0.38569503014223816","0.38569503014223816"
"27","0.3343295398317665","0.3343295398317665","0.3343295398317665"
"28","0.3924938698786145","0.3924938698786145","0.3924938698786145"
"29","0.37585593754106644","0.37585593754106644","0.37585593754106644"
"30","0.4166217695823702","0.4166217695823702","0.4166217695823702"
"31","0.3556369248460456","0.3556369248460456","0.3556369248460456"
"32","0.32446775523668153","0.32446775523668153","0.32446775523668153"
"33","0.4256663933097753","0.4256663933097753","0.4256663933097753"
"34","0.3706807737275285","0.3706807737275285","0.3706807737275285"
"35","0.46987333715580604","0.46987333715580604","0.46987333715580604"
"36","0.3337749298005615","0.3337749298005615","0.3337749298005615"
"37","0.44404924760601916","0.44404924760601916","0.44404924760601916"
"38","0.37801977517661006","0.37801977517661006","0.37801977517661006"
"39","0.37807435848386306","0.37807435848386306","0.37807435848386306"
"40","0.39967831293003303","0.39967831293003303","0.39967831293003303"
"41","0.3597864819886143","0.3597864819886143","0.3597864819886143"
"42","0.39037099995220415","0.39037099995220415","0.39037099995220415"
"43","0.4615710232781742","0.4615710232781742","0.4615710232781742"
"44","0.4873981855142917","0.4873981855142917","0.4873981855142917"
"45","0.42260694691264145","0.42260694691264145","0.42260694691264145"
"46","0.40843507214206437","0.40843507214206437","0.40843507214206437"
"47","0.41916427003800544","0.41916427003800544","0.41916427003800544"
"48","0.516137174831705","0.516137174831705","0.516137174831705"
"49","0.46896683494272684","0.46896683494272684","0.46896683494272684"
"50","0.5624960137677704","0.5624960137677704","0.5624960137677704"
"51","0.5385890497781679","0.5385890497781679","0.5385890497781679"
"52","0.4447968618660689","0.4447968618660689","0.4447968618660689"
"53","0.3736332443766679","0.3736332443766679","0.3736332443766679"
"54","0.4115285231564301","0.4115285231564301","0.4115285231564301"
"55","0.4871998910433669","0.4871998910433669","0.4871998910433669"
"56","0.3736332443766679","0.3736332443766679","0.3736332443766679"
"57","0.4166217695823702","0.4166217695823702","0.4166217695823702"
"58","0.5044081916001388","0.5044081916001388","0.5044081916001388"
"59","0.47300641850493136","0.47300641850493136","0.47300641850493136"
"60","0.5411816488600986","0.5411816488600986","0.5411816488600986"
"61","0.5046137454734559","0.5046137454734559","0.5046137454734559"
"62","0.5241088264344078","0.5241088264344078","0.5241088264344078"
"63","0.4984379092616433","0.4984379092616433","0.4984379092616433"
"64","0.4863355498968152","0.4863355498968152","0.4863355498968152"
"65","0.4901444211551775","0.4901444211551775","0.4901444211551775"
"66","0.4578716761570255","0.4578716761570255","0.4578716761570255"
"67","0.42688708321658725","0.42688708321658725","0.42688708321658725"
"68","0.48538017436679415","0.48538017436679415","0.48538017436679415"
"69","0.47280324533726414","0.47280324533726414","0.47280324533726414"
"70","0.4887160117442987","0.4887160117442987","0.4887160117442987"
"71","0.5129170642175107","0.5129170642175107","0.5129170642175107"
"72","0.4863355498968152","0.4863355498968152","0.4863355498968152"
"73","0.4757292557521303","0.4757292557521303","0.4757292557521303"
"74","0.4844961240310077","0.4844961240310077","0.4844961240310077"
"75","0.44358606461807737","0.44358606461807737","0.44358606461807737"
"76","0.4321050121177745","0.4321050121177745","0.4321050121177745"
"77","0.5371745921555017","0.5371745921555017","0.5371745921555017"
"78","0.5630603302999663","0.5630603302999663","0.5630603302999663"
"79","0.5011145285126823","0.5011145285126823","0.5011145285126823"
"80","0.5015415348375327","0.5015415348375327","0.5015415348375327"
"81","0.5363996554694229","0.5363996554694229","0.5363996554694229"
"82","0.5204134366925065","0.5204134366925065","0.5204134366925065"
"83","0.49115101560200175","0.49115101560200175","0.49115101560200175"
"84","0.48089181243996854","0.48089181243996854","0.48089181243996854"
"85","0.4348236404388345","0.4348236404388345","0.4348236404388345"
"86","0.3987363892996371","0.3987363892996371","0.3987363892996371"
"87","0.4314263920671244","0.4314263920671244","0.4314263920671244"
"88","0.543098174741742","0.543098174741742","0.543098174741742"
"89","0.5254955513852302","0.5254955513852302","0.5254955513852302"
"90","0.5275000876916062","0.5275000876916062","0.5275000876916062"
"91","0.49837371930395186","0.49837371930395186","0.49837371930395186"
"92","0.5455907770092652","0.5455907770092652","0.5455907770092652"
"93","0.5064644657667913","0.5064644657667913","0.5064644657667913"
"94","0.471310467858226","0.471310467858226","0.471310467858226"
"95","0.4724510289024071","0.4724510289024071","0.4724510289024071"
"96","0.45867980065463865","0.45867980065463865","0.45867980065463865"
"97","0.45295615965062497","0.45295615965062497","0.45295615965062497"
"98","0.5080050265095487","0.5080050265095487","0.5080050265095487"
"99","0.5603861316259106","0.5603861316259106","0.5603861316259106"
"100","0.5241873493583481","0.5241873493583481","0.5241873493583481"
"101","0.5090966960564794","0.5090966960564794","0.5090966960564794"
"102","0.5118919079259612","0.5118919079259612","0.5118919079259612"
"103","0.5647107950724014","0.5647107950724014","0.5647107950724014"
"104","0.5385828569240843","0.5385828569240843","0.5385828569240843"
"105","0.41904166678233173","0.41904166678233173","0.41904166678233173"
"106","0.5038029246839757","0.5038029246839757","0.5038029246839757"
"107","0.5015886728119345","0.5015886728119345","0.5015886728119345"
"108","0.5077339102217414","0.5077339102217414","0.5077339102217414"
"109","0.546196294836421","0.546196294836421","0.546196294836421"
"110","0.525901420479645","0.525901420479645","0.525901420479645"
"111","0.5696689002759164","0.5696689002759164","0.5696689002759164"
"112","0.5631231005109888","0.5631231005109888","0.5631231005109888"
"113","0.5410390024120513","0.5410390024120513","0.5410390024120513"
"114","0.5637664242315404","0.5637664242315404","0.5637664242315404"
"115","0.565421790065522","0.565421790065522","0.565421790065522"
"116","0.5444741325829475","0.5444741325829475","0.5444741325829475"
"117","0.44843844012047995","0.44843844012047995","0.44843844012047995"
"118","0.37807435848386306","0.37807435848386306","0.37807435848386306"
"119","0.49837371930395186","0.49837371930395186","0.49837371930395186"
"120","0.5803876342219884","0.5803876342219884","0.5803876342219884"
"121","0.580942313500453","0.580942313500453","0.580942313500453"
"122","0.534275536505546","0.534275536505546","0.534275536505546"
"123","0.44680748811678217","0.44680748811678217","0.44680748811678217"
"124","0.42606121625959165","0.42606121625959165","0.42606121625959165"
"125","0.492778710849622","0.492778710849622","0.492778710849622"
"126","0.5337001454931757","0.5337001454931757","0.5337001454931757"
"127","0.5403165917529803","0.5403165917529803","0.5403165917529803"
"128","0.5546668391298295","0.5546668391298295","0.5546668391298295"
"129","0.5452353109799657","0.5452353109799657","0.5452353109799657"
"130","0.5286297545858326","0.5286297545858326","0.5286297545858326"
"131","0.5420456884132537","0.5420456884132537","0.5420456884132537"
"132","0.5523963215815049","0.5523963215815049","0.5523963215815049"
"133","0.47865322256075626","0.47865322256075626","0.47865322256075626"
"134","0.5501977403856984","0.5501977403856984","0.5501977403856984"
"135","0.5388274516181493","0.5388274516181493","0.5388274516181493"
"136","0.5806046056523916","0.5806046056523916","0.5806046056523916"
"137","0.5878111804373857","0.5878111804373857","0.5878111804373857"
"138","0.561837822538799","0.561837822538799","0.561837822538799"
"139","0.5718446547509587","0.5718446547509587","0.5718446547509587"
"140","0.5604097721856399","0.5604097721856399","0.5604097721856399"
"141","0.556989701319262","0.556989701319262","0.556989701319262"
"142","0.4848947937305951","0.4848947937305951","0.4848947937305951"
"143","0.5015886728119345","0.5015886728119345","0.5015886728119345"
"144","0.49837371930395186","0.49837371930395186","0.49837371930395186"
"145","0.5568677463349672","0.5568677463349672","0.5568677463349672"
"146","0.5308925204274041","0.5308925204274041","0.5308925204274041"
"147","0.5659436587824","0.5659436587824","0.5659436587824"
"148","0.5718015970157952","0.5718015970157952","0.5718015970157952"
"149","0.5429926560587516","0.5429926560587516","0.5429926560587516"
