"Step","2023-07-27 00:08:18.163117_run0.3_0 - F1-score","2023-07-27 00:08:18.163117_run0.3_0 - F1-score__MIN","2023-07-27 00:08:18.163117_run0.3_0 - F1-score__MAX"
"0","0.41862809725076583","0.41862809725076583","0.41862809725076583"
"1","0.3574229691876751","0.3574229691876751","0.3574229691876751"
"2","0.3621120174336779","0.3621120174336779","0.3621120174336779"
"3","0.383639782189339","0.383639782189339","0.383639782189339"
"4","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"5","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"6","0.3933020570191266","0.3933020570191266","0.3933020570191266"
"7","0.4357466063348416","0.4357466063348416","0.4357466063348416"
"8","0.3933020570191266","0.3933020570191266","0.3933020570191266"
"9","0.3933020570191266","0.3933020570191266","0.3933020570191266"
"10","0.39381055618671523","0.39381055618671523","0.39381055618671523"
"11","0.3933020570191266","0.3933020570191266","0.3933020570191266"
"12","0.37341032118368817","0.37341032118368817","0.37341032118368817"
"13","0.4316300629069639","0.4316300629069639","0.4316300629069639"
"14","0.4415943189936998","0.4415943189936998","0.4415943189936998"
"15","0.4565771939843899","0.4565771939843899","0.4565771939843899"
"16","0.45918676218343246","0.45918676218343246","0.45918676218343246"
"17","0.5045518949262264","0.5045518949262264","0.5045518949262264"
"18","0.47678018575851394","0.47678018575851394","0.47678018575851394"
"19","0.5045518949262264","0.5045518949262264","0.5045518949262264"
"20","0.48456428943258717","0.48456428943258717","0.48456428943258717"
"21","0.4415266106442577","0.4415266106442577","0.4415266106442577"
"22","0.47366310160427805","0.47366310160427805","0.47366310160427805"
"23","0.4498134113030432","0.4498134113030432","0.4498134113030432"
"24","0.5035712950151453","0.5035712950151453","0.5035712950151453"
"25","0.4790569434594127","0.4790569434594127","0.4790569434594127"
"26","0.5106518282988872","0.5106518282988872","0.5106518282988872"
"27","0.5832290362953692","0.5832290362953692","0.5832290362953692"
"28","0.49477581242287116","0.49477581242287116","0.49477581242287116"
"29","0.5801291654182896","0.5801291654182896","0.5801291654182896"
"30","0.612233953410424","0.612233953410424","0.612233953410424"
"31","0.6197605413846955","0.6197605413846955","0.6197605413846955"
"32","0.5452454666076958","0.5452454666076958","0.5452454666076958"
"33","0.5644574445316399","0.5644574445316399","0.5644574445316399"
"34","0.6270682785169177","0.6270682785169177","0.6270682785169177"
"35","0.5925133689839571","0.5925133689839571","0.5925133689839571"
"36","0.6022703818369453","0.6022703818369453","0.6022703818369453"
"37","0.5492371473872245","0.5492371473872245","0.5492371473872245"
"38","0.5885846173039735","0.5885846173039735","0.5885846173039735"
