"Step","f1","2023-08-05 16:44:46.585368_nomix_1_3 - F1-score__MIN","2023-08-05 16:44:46.585368_nomix_1_3 - F1-score__MAX"
"0","0.3155075458373656","0.3155075458373656","0.3155075458373656"
"1","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"2","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"3","0.3456747404844291","0.3456747404844291","0.3456747404844291"
"4","0.34119765734953617","0.34119765734953617","0.34119765734953617"
"5","0.3456747404844291","0.3456747404844291","0.3456747404844291"
"6","0.3621120174336779","0.3621120174336779","0.3621120174336779"
"7","0.4038483139208361","0.4038483139208361","0.4038483139208361"
"8","0.4572192513368984","0.4572192513368984","0.4572192513368984"
"9","0.5104929404757734","0.5104929404757734","0.5104929404757734"
"10","0.546206884759572","0.546206884759572","0.546206884759572"
"11","0.554999688104298","0.554999688104298","0.554999688104298"
"12","0.5311326658322904","0.5311326658322904","0.5311326658322904"
"13","0.49376114081996436","0.49376114081996436","0.49376114081996436"
"14","0.5885261500234761","0.5885261500234761","0.5885261500234761"
"15","0.5482487278354286","0.5482487278354286","0.5482487278354286"
"16","0.5627783316716517","0.5627783316716517","0.5627783316716517"
"17","0.5585572322414427","0.5585572322414427","0.5585572322414427"
"18","0.5438757209398346","0.5438757209398346","0.5438757209398346"
"19","0.5884102030192607","0.5884102030192607","0.5884102030192607"
"20","0.5627783316716517","0.5627783316716517","0.5627783316716517"
"21","0.5452454666076958","0.5452454666076958","0.5452454666076958"
"22","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"23","0.3034602076124568","0.3034602076124568","0.3034602076124568"
"24","0.4430417367158009","0.4430417367158009","0.4430417367158009"
"25","0.5057315233785823","0.5057315233785823","0.5057315233785823"
"26","0.5245989304812835","0.5245989304812835","0.5245989304812835"
"27","0.4874153297682709","0.4874153297682709","0.4874153297682709"
"28","0.41067356008560574","0.41067356008560574","0.41067356008560574"
"29","0.5152173094541849","0.5152173094541849","0.5152173094541849"
"30","0.5352628839146277","0.5352628839146277","0.5352628839146277"
"31","0.5358367360641909","0.5358367360641909","0.5358367360641909"
"32","0.5585561497326204","0.5585561497326204","0.5585561497326204"
"33","0.5415775401069519","0.5415775401069519","0.5415775401069519"
"34","0.539819004524887","0.539819004524887","0.539819004524887"
"35","0.5152173094541849","0.5152173094541849","0.5152173094541849"
"36","0.5169310116044714","0.5169310116044714","0.5169310116044714"
"37","0.5057315233785823","0.5057315233785823","0.5057315233785823"
"38","0.46599916562369637","0.46599916562369637","0.46599916562369637"
"39","0.42881355932203385","0.42881355932203385","0.42881355932203385"
"40","0.48385898561491186","0.48385898561491186","0.48385898561491186"
"41","0.48868778280542985","0.48868778280542985","0.48868778280542985"
"42","0.46599916562369637","0.46599916562369637","0.46599916562369637"
"43","0.4202947221363996","0.4202947221363996","0.4202947221363996"
"44","0.4197860962566845","0.4197860962566845","0.4197860962566845"
"45","0.4879349627174814","0.4879349627174814","0.4879349627174814"
"46","0.47678018575851394","0.47678018575851394","0.47678018575851394"
"47","0.48456428943258717","0.48456428943258717","0.48456428943258717"
"48","0.5364945978391357","0.5364945978391357","0.5364945978391357"
"49","0.4893113078871593","0.4893113078871593","0.4893113078871593"
"50","0.48630128390165545","0.48630128390165545","0.48630128390165545"
"51","0.4699151116263416","0.4699151116263416","0.4699151116263416"
"52","0.4450648055832502","0.4450648055832502","0.4450648055832502"
"53","0.47058823529411764","0.47058823529411764","0.47058823529411764"
"54","0.5045518949262264","0.5045518949262264","0.5045518949262264"
"55","0.469458703045972","0.469458703045972","0.469458703045972"
"56","0.5141542922003665","0.5141542922003665","0.5141542922003665"
"57","0.48005985656530437","0.48005985656530437","0.48005985656530437"
"58","0.5031438647573389","0.5031438647573389","0.5031438647573389"
"59","0.5045518949262264","0.5045518949262264","0.5045518949262264"
