"Step","f1","2023-07-23 06:59:10.385484 - F1-score__MIN","2023-07-23 06:59:10.385484 - F1-score__MAX"
"0","0.32049418604651164","0.32049418604651164","0.32049418604651164"
"1","0.3290246382243787","0.3290246382243787","0.3290246382243787"
"2","0.35807110279945803","0.35807110279945803","0.35807110279945803"
"3","0.356064890082703","0.356064890082703","0.356064890082703"
"4","0.3540531090219363","0.3540531090219363","0.3540531090219363"
"5","0.3400741489720256","0.3400741489720256","0.3400741489720256"
"6","0.3540531090219363","0.3540531090219363","0.3540531090219363"
"7","0.356064890082703","0.356064890082703","0.356064890082703"
"8","0.3419750802731594","0.3419750802731594","0.3419750802731594"
"9","0.3438692490460077","0.3438692490460077","0.3438692490460077"
"10","0.3597864819886143","0.3597864819886143","0.3597864819886143"
"11","0.3438692490460077","0.3438692490460077","0.3438692490460077"
"12","0.32725148154273076","0.32725148154273076","0.32725148154273076"
"13","0.3520212622537219","0.3520212622537219","0.3520212622537219"
"14","0.37933498635537416","0.37933498635537416","0.37933498635537416"
"15","0.3481187167963488","0.3481187167963488","0.3481187167963488"
"16","0.31878073957131575","0.31878073957131575","0.31878073957131575"
"17","0.3400741489720256","0.3400741489720256","0.3400741489720256"
"18","0.34615819608397536","0.34615819608397536","0.34615819608397536"
"19","0.37585593754106644","0.37585593754106644","0.37585593754106644"
"20","0.42170434131584245","0.42170434131584245","0.42170434131584245"
"21","0.39682518944342826","0.39682518944342826","0.39682518944342826"
"22","0.4044524338020173","0.4044524338020173","0.4044524338020173"
"23","0.37858958666792203","0.37858958666792203","0.37858958666792203"
"24","0.38800489596083226","0.38800489596083226","0.38800489596083226"
"25","0.3619535474451938","0.3619535474451938","0.3619535474451938"
"26","0.37858958666792203","0.37858958666792203","0.37858958666792203"
"27","0.36320225928381394","0.36320225928381394","0.36320225928381394"
"28","0.3556369248460456","0.3556369248460456","0.3556369248460456"
"29","0.4038645129262611","0.4038645129262611","0.4038645129262611"
"30","0.4982752451465258","0.4982752451465258","0.4982752451465258"
"31","0.47280324533726414","0.47280324533726414","0.47280324533726414"
"32","0.37801977517661006","0.37801977517661006","0.37801977517661006"
"33","0.4719526022932921","0.4719526022932921","0.4719526022932921"
"34","0.5325173398612811","0.5325173398612811","0.5325173398612811"
"35","0.3810636869743752","0.3810636869743752","0.3810636869743752"
"36","0.3706807737275285","0.3706807737275285","0.3706807737275285"
"37","0.5077896643013906","0.5077896643013906","0.5077896643013906"
"38","0.4172987920803487","0.4172987920803487","0.4172987920803487"
"39","0.40254422580003973","0.40254422580003973","0.40254422580003973"
"40","0.4796362872620335","0.4796362872620335","0.4796362872620335"
"41","0.4923827481967017","0.4923827481967017","0.4923827481967017"
"42","0.46134327151797894","0.46134327151797894","0.46134327151797894"
"43","0.46829558129110943","0.46829558129110943","0.46829558129110943"
"44","0.4444289156718019","0.4444289156718019","0.4444289156718019"
"45","0.44133102592671614","0.44133102592671614","0.44133102592671614"
"46","0.44712867828972264","0.44712867828972264","0.44712867828972264"
"47","0.47052681537731367","0.47052681537731367","0.47052681537731367"
"48","0.45224138092517485","0.45224138092517485","0.45224138092517485"
"49","0.4472937249503576","0.4472937249503576","0.4472937249503576"
"50","0.46597760551248923","0.46597760551248923","0.46597760551248923"
"51","0.45552946678228007","0.45552946678228007","0.45552946678228007"
"52","0.478620786418324","0.478620786418324","0.478620786418324"
"53","0.5030190672629474","0.5030190672629474","0.5030190672629474"
"54","0.4917407298652363","0.4917407298652363","0.4917407298652363"
"55","0.4444289156718019","0.4444289156718019","0.4444289156718019"
"56","0.42848753340468027","0.42848753340468027","0.42848753340468027"
"57","0.4709212619458653","0.4709212619458653","0.4709212619458653"
"58","0.4774225768458003","0.4774225768458003","0.4774225768458003"
"59","0.5149204393304474","0.5149204393304474","0.5149204393304474"
"60","0.499145494268023","0.499145494268023","0.499145494268023"
"61","0.4357264323955265","0.4357264323955265","0.4357264323955265"
"62","0.4530132171129247","0.4530132171129247","0.4530132171129247"
"63","0.40988184151287893","0.40988184151287893","0.40988184151287893"
"64","0.45922637033078745","0.45922637033078745","0.45922637033078745"
"65","0.4415603900975244","0.4415603900975244","0.4415603900975244"
"66","0.4497320631308256","0.4497320631308256","0.4497320631308256"
"67","0.47052681537731367","0.47052681537731367","0.47052681537731367"
"68","0.40683551454665284","0.40683551454665284","0.40683551454665284"
"69","0.48844099913867356","0.48844099913867356","0.48844099913867356"
"70","0.46036597438443305","0.46036597438443305","0.46036597438443305"
"71","0.5059804470017848","0.5059804470017848","0.5059804470017848"
"72","0.5237648212777445","0.5237648212777445","0.5237648212777445"
"73","0.4006155950752394","0.4006155950752394","0.4006155950752394"
"74","0.5656305432973018","0.5656305432973018","0.5656305432973018"
"75","0.5421406758616062","0.5421406758616062","0.5421406758616062"
"76","0.5240478597910347","0.5240478597910347","0.5240478597910347"
"77","0.4935602785236426","0.4935602785236426","0.4935602785236426"
"78","0.534804587222755","0.534804587222755","0.534804587222755"
"79","0.5255940001260477","0.5255940001260477","0.5255940001260477"
"80","0.5148410307869007","0.5148410307869007","0.5148410307869007"
"81","0.5194376222233715","0.5194376222233715","0.5194376222233715"
"82","0.53437952984181","0.53437952984181","0.53437952984181"
"83","0.5378210649528479","0.5378210649528479","0.5378210649528479"
"84","0.526968584251326","0.526968584251326","0.526968584251326"
"85","0.505917194671575","0.505917194671575","0.505917194671575"
"86","0.526198502942689","0.526198502942689","0.526198502942689"
"87","0.5070329667992354","0.5070329667992354","0.5070329667992354"
"88","0.4878365973072215","0.4878365973072215","0.4878365973072215"
"89","0.4777340372275065","0.4777340372275065","0.4777340372275065"
"90","0.4623276859938966","0.4623276859938966","0.4623276859938966"
"91","0.5062992425684163","0.5062992425684163","0.5062992425684163"
"92","0.4850353892821031","0.4850353892821031","0.4850353892821031"
"93","0.49344917516704984","0.49344917516704984","0.49344917516704984"
"94","0.49762583095916435","0.49762583095916435","0.49762583095916435"
"95","0.4981399201747119","0.4981399201747119","0.4981399201747119"
"96","0.5012422647798646","0.5012422647798646","0.5012422647798646"
"97","0.5054145777659989","0.5054145777659989","0.5054145777659989"
"98","0.4981399201747119","0.4981399201747119","0.4981399201747119"
"99","0.5012422647798646","0.5012422647798646","0.5012422647798646"
"100","0.49344917516704984","0.49344917516704984","0.49344917516704984"
"101","0.5017828709829337","0.5017828709829337","0.5017828709829337"
"102","0.49762583095916435","0.49762583095916435","0.49762583095916435"
"103","0.49705016974726524","0.49705016974726524","0.49705016974726524"
"104","0.49705016974726524","0.49705016974726524","0.49705016974726524"
"105","0.49705016974726524","0.49705016974726524","0.49705016974726524"
"106","0.49035914374331213","0.49035914374331213","0.49035914374331213"
"107","0.4964125492802441","0.4964125492802441","0.4964125492802441"
"108","0.4949110411931341","0.4949110411931341","0.4949110411931341"
"109","0.5006403774856758","0.5006403774856758","0.5006403774856758"
"110","0.4878941254300918","0.4878941254300918","0.4878941254300918"
"111","0.48360268033109977","0.48360268033109977","0.48360268033109977"
"112","0.5026816405593937","0.5026816405593937","0.5026816405593937"
"113","0.49898470285636926","0.49898470285636926","0.49898470285636926"
"114","0.48360268033109977","0.48360268033109977","0.48360268033109977"
"115","0.483449344805404","0.483449344805404","0.483449344805404"
"116","0.4898370841523296","0.4898370841523296","0.4898370841523296"
"117","0.47928917188031006","0.47928917188031006","0.47928917188031006"
"118","0.4949110411931341","0.4949110411931341","0.4949110411931341"
