"Step","f1","2023-08-02 13:17:03.653647_vanmix_0_4 - F1-score__MIN","2023-08-02 13:17:03.653647_vanmix_0_4 - F1-score__MAX"
"0","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"1","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"2","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"3","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"4","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"5","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"6","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"7","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"8","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"9","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"10","0.30117647058823527","0.30117647058823527","0.30117647058823527"
"11","0.32456747404844294","0.32456747404844294","0.32456747404844294"
"12","0.3456747404844291","0.3456747404844291","0.3456747404844291"
"13","0.3456747404844291","0.3456747404844291","0.3456747404844291"
"14","0.3683557760453579","0.3683557760453579","0.3683557760453579"
"15","0.4566004745847384","0.4566004745847384","0.4566004745847384"
"16","0.41628959276018096","0.41628959276018096","0.41628959276018096"
"17","0.42189524030956255","0.42189524030956255","0.42189524030956255"
"18","0.46599916562369637","0.46599916562369637","0.46599916562369637"
"19","0.48642922005852085","0.48642922005852085","0.48642922005852085"
"20","0.5123296776337655","0.5123296776337655","0.5123296776337655"
"21","0.454779820715828","0.454779820715828","0.454779820715828"
"22","0.5020794077779503","0.5020794077779503","0.5020794077779503"
"23","0.4955134596211366","0.4955134596211366","0.4955134596211366"
"24","0.48456428943258717","0.48456428943258717","0.48456428943258717"
"25","0.4871040563490773","0.4871040563490773","0.4871040563490773"
"26","0.5020794077779503","0.5020794077779503","0.5020794077779503"
"27","0.5210084033613446","0.5210084033613446","0.5210084033613446"
"28","0.48868778280542985","0.48868778280542985","0.48868778280542985"
"29","0.5026594306863784","0.5026594306863784","0.5026594306863784"
"30","0.5160479725870931","0.5160479725870931","0.5160479725870931"
"31","0.48775704390677654","0.48775704390677654","0.48775704390677654"
"32","0.5021608643457383","0.5021608643457383","0.5021608643457383"
"33","0.5057315233785823","0.5057315233785823","0.5057315233785823"
"34","0.5083317469382574","0.5083317469382574","0.5083317469382574"
"35","0.4917166866746699","0.4917166866746699","0.4917166866746699"
"36","0.4837991934362397","0.4837991934362397","0.4837991934362397"
"37","0.4726066897347174","0.4726066897347174","0.4726066897347174"
"38","0.492987589546968","0.492987589546968","0.492987589546968"
"39","0.5261437908496732","0.5261437908496732","0.5261437908496732"
"40","0.48739495798319327","0.48739495798319327","0.48739495798319327"
"41","0.46920415224913503","0.46920415224913503","0.46920415224913503"
"42","0.4859174439006372","0.4859174439006372","0.4859174439006372"
"43","0.5084081853177552","0.5084081853177552","0.5084081853177552"
"44","0.5210084033613446","0.5210084033613446","0.5210084033613446"
"45","0.5125029768992616","0.5125029768992616","0.5125029768992616"
"46","0.5098880032287356","0.5098880032287356","0.5098880032287356"
"47","0.5508305897374911","0.5508305897374911","0.5508305897374911"
"48","0.5466032653875569","0.5466032653875569","0.5466032653875569"
"49","0.5183633524206143","0.5183633524206143","0.5183633524206143"
"50","0.5447963800904977","0.5447963800904977","0.5447963800904977"
"51","0.5169310116044714","0.5169310116044714","0.5169310116044714"
"52","0.5711853585869334","0.5711853585869334","0.5711853585869334"
"53","0.5705141881800727","0.5705141881800727","0.5705141881800727"
"54","0.5314478102529753","0.5314478102529753","0.5314478102529753"
"55","0.5363774353856071","0.5363774353856071","0.5363774353856071"
"56","0.5115718418514947","0.5115718418514947","0.5115718418514947"
"57","0.5152173094541849","0.5152173094541849","0.5152173094541849"
"58","0.5115718418514947","0.5115718418514947","0.5115718418514947"
"59","0.5322272284207048","0.5322272284207048","0.5322272284207048"
"60","0.5633957370398696","0.5633957370398696","0.5633957370398696"
"61","0.5430672268907563","0.5430672268907563","0.5430672268907563"
"62","0.5415775401069519","0.5415775401069519","0.5415775401069519"
"63","0.5501730103806228","0.5501730103806228","0.5501730103806228"
"64","0.5322272284207048","0.5322272284207048","0.5322272284207048"
"65","0.539819004524887","0.539819004524887","0.539819004524887"
"66","0.5428347822408359","0.5428347822408359","0.5428347822408359"
"67","0.5196783749471011","0.5196783749471011","0.5196783749471011"
"68","0.4755047485995997","0.4755047485995997","0.4755047485995997"
"69","0.4759358288770053","0.4759358288770053","0.4759358288770053"
"70","0.5188998488012097","0.5188998488012097","0.5188998488012097"
"71","0.5240285204991086","0.5240285204991086","0.5240285204991086"
"72","0.5536716073243891","0.5536716073243891","0.5536716073243891"
"73","0.5491290249604103","0.5491290249604103","0.5491290249604103"
"74","0.5183633524206143","0.5183633524206143","0.5183633524206143"
"75","0.5255832645895467","0.5255832645895467","0.5255832645895467"
"76","0.5195184330359928","0.5195184330359928","0.5195184330359928"
"77","0.5137665955455405","0.5137665955455405","0.5137665955455405"
"78","0.5290826162599332","0.5290826162599332","0.5290826162599332"
"79","0.5677803788040009","0.5677803788040009","0.5677803788040009"
"80","0.5363774353856071","0.5363774353856071","0.5363774353856071"
"81","0.5548110359187922","0.5548110359187922","0.5548110359187922"
"82","0.5690619469026549","0.5690619469026549","0.5690619469026549"
"83","0.5532364377352214","0.5532364377352214","0.5532364377352214"
"84","0.5436888305922711","0.5436888305922711","0.5436888305922711"
"85","0.5415775401069519","0.5415775401069519","0.5415775401069519"
"86","0.5546218487394958","0.5546218487394958","0.5546218487394958"
"87","0.5884102030192607","0.5884102030192607","0.5884102030192607"
"88","0.5662470663537442","0.5662470663537442","0.5662470663537442"
"89","0.5599906629318395","0.5599906629318395","0.5599906629318395"
"90","0.5708836617927527","0.5708836617927527","0.5708836617927527"
"91","0.546206884759572","0.546206884759572","0.546206884759572"
"92","0.5339685169842584","0.5339685169842584","0.5339685169842584"
"93","0.5415775401069519","0.5415775401069519","0.5415775401069519"
"94","0.5338808006709813","0.5338808006709813","0.5338808006709813"
"95","0.5716106194690266","0.5716106194690266","0.5716106194690266"
"96","0.5869544424344499","0.5869544424344499","0.5869544424344499"
"97","0.5717312990040263","0.5717312990040263","0.5717312990040263"
"98","0.5717312990040263","0.5717312990040263","0.5717312990040263"
"99","0.5789412429754265","0.5789412429754265","0.5789412429754265"
